competition,ts_start,ts_end,throw,tori
LIS2104D2T1,3:56,3:59,sawari seoi,white
LIS2104D2T1,5:15,5:19,uchi mata,white
LIS2104D2T1,6:58,7:01,seoi nage,blue
LIS2104D2T1,8:28,8:30,tomoe nage,white
LIS2104D2T1,9:50,9:52,tai otoshi,white
LIS2104D2T1,10:45,10:49,morote seoi,white
LIS2104D2T1,13:37,13:39,sumi gaeshi,white
LIS2104D2T1,17:36,17:38,ko uchi gari,blue
LIS2104D2T1,20:37,20:39,uchi mata,white
LIS2104D2T1,30:00,30:02,sumi gaeshi,white
LIS2104D2T1,31:38,31:40,o soto gari,blue
LIS2104D2T1,33:44,33:47,sode tsuri komi goshi,blue
LIS2104D2T1,36:27,36:29,tomoe nage,white
LIS2104D2T1,37:47,37:49,sawari seoi,white
LIS2104D2T1,40:07,40:09,sawari seoi,white
LIS2104D2T1,49:59,50:02,soto makikomi,white
LIS2104D2T1,54:37,54:39,ko uchi gari,white
LIS2104D2T1,1:05:54,1:05:57,ko uchi gage,white
LIS2104D2T1,1:14:00,1:14:05,sumi gaeshi,white
LIS2104D2T1,1:14:52,1:14:55,tai otoshi,white
LIS2104D2T1,1:16:48,1:16:50,o uchi gari,white
LIS2104D2T1,1:19:04,1:19:08,utsuri goshi,white
LIS2104D2T1,1:25:36,1:25:40,tani otoshi,white
LIS2104D2T1,1:43:37,1:43:40,ko soto gage,white
LIS2104D2T1,1:45:45,1:45:47,ko soto gari,blue
LIS2104D2T1,1:51:52,1:51:55,tani otoshi,blue
LIS2104D2T1,1:54:34,1:54:37,sawari seoi,white
LIS2104D2T1,2:02:14,2:02:17,okuri ashi barai,white
LIS2104D2T1,2:08:47,2:08:51,tsuri goshi,white
LIS2104D2T1,2:14:10,2:14:13,o soto gari,blue
LIS2104D2T1,2:22:19,2:22:23,sumi gaeshi,white
LIS2104D2T1,2:31:06,2:31:08,o uchi gari,white
LIS2104D2T1,2:35:40,2:35:44,o uchi gari,white
LIS2104D2T1,2:40:57,2:41:00,tomoe nage,white
LIS2104D2T1,2:53:46,2:53:50,hiza guruma,white
LIS2104D2T1,2:57:41,2:57:46,soto makikomi,white
