competition,ts_start,ts_end,throw,tori
SAR2210D1T1,3:16,3:18,sode tsurikomi goshi,white
SAR2210D1T1,3:30,3:32,sumi gaeshi,blue
SAR2210D1T1,5:51,5:54,sode tsruikomi goshi,white
SAR2210D1T1,7:13,7:15,sumi gaeshi,blue
SAR2210D1T1,8:09,8:11,sode tsurikomi goshi,white
SAR2210D1T1,13:30,13:32,uchi mata,blue
SAR2210D1T1,16:20,16:22,uchi mata,blue
SAR2210D1T1,17:36,17:39,uchi mata,white
SAR2210D1T1,23:27,23:29,ura nage,white
SAR2210D1T1,23:49,23:51,o uchi gari,blue
SAR2210D1T1,23:54,23:57,ko soto gari,white
SAR2210D1T1,25:01,25:03,o uchi gari,blue
SAR2210D1T1,25:45,25:47,utsuri goshi,white
SAR2210D1T1,33:19,33:21,uchi mata,blue
SAR2210D1T1,39:04,39:06,uchi mata,blue
SAR2210D1T1,40:39,40:41,harai goshi,blue
SAR2210D1T1,42:08,42:10,harai goshi,blue
SAR2210D1T1,45:31,45:33,o uchi gari,blue
SAR2210D1T1,49:26,49:28,ko soto gari,white
SAR2210D1T1,52:02,52:04,okuri ashi barai,white
SAR2210D1T1,53:13,53:15,tsuri goshi,white
SAR2210D1T1,57:37,57:39,kata guruma,white
SAR2210D1T1,58:46,58:48,sode tsurikomi goshi,blue
SAR2210D1T1,1:02:16,1:02:18,sode tsurikomi goshi,white
SAR2210D1T1,1:02:51,1:02:54,sode tsurikomi goshi,white
SAR2210D1T1,1:04:14,1:04:16,o uchi gari,blue
SAR2210D1T1,1:04:40,1:04:42,ura nage,white
SAR2210D1T1,1:07:26,1:07:28,sumi gaeshi,white
SAR2210D1T1,1:09:53,1:09:55,tai otoshi,white
SAR2210D1T1,1:15:28,1:15:30,sumi gaeshi,blue
SAR2210D1T1,1:17.32,1:17:34,sumi geashi,blue
SAR2210D1T1,1:18:01,1:18:03,uchi mata,white
SAR2210D1T1,1:20:48,1:20:50,sumi gaeshi,blue
SAR2210D1T1,1:23:00,1:23:02,kata guruma,blue
SAR2210D1T1,1:25:15,1:25:17,sumi gaeshi,white
SAR2210D1T1,1:26:44,1:26:47,kata guruma,white 
SAR2210D1T1,1:28:25,1:28:27,sumi gaeshi,white
SAR2210D1T1,1:30:57,1:30:59,sumi geashi,white
SAR2210D1T1,1:32:22,1:32:24,sumi gaeshi,white
SAR2210D1T1,1:37:59,1:38:01,ura nage,white
SAR2210D1T1,1:39:15,1:39:17,uchi mata,blue
SAR2210D1T1,1:44:33,1:44:35,o soto gari,white
SAR2210D1T1,1:46:29,1:46:32,ko uchi makikomi,white
SAR2210D1T1,1:49:26,1:49:28,yoko tomoe nage,white
SAR2210D1T1,1:50:10,1:50:12,morote seoi nage,blue
SAR2210D1T1,1:51:55,1:51:57,kata guruam,blue
SAR2210D1T1,1:54:09,1:54:11,uchi mata,white
SAR2210D1T1,1:56:00,1:56:02,o uchi gari,white
SAR2210D1T1,1:57:00,1:57:02,soto makikomi,white
SAR2210D1T1,2:03:45,2.03:47,kata guruma,blue
SAR2210D1T1,2:04:49,2.04.51,ko soto gari,blue
SAR2210D1T1,2:07:07,2:07:09,harai goshi,blue
SAR2210D1T1,2:18:24,2:18:26,eri seoi nage,white
SAR2210D1T1,2:20:47,2:20:49,kata guruma,blue
SAR2210D1T1,2:28:47,2:28:49,tani otoshi,white
SAR2210D1T1,2:30.59,2:31:01,ko uchi makikomi,white
SAR2210D1T1,2:31:27,2:31:29,o uchi gari,blue
SAR2210D1T1,2:35:41,2:35:43,sode tsurikomi goshi,white
SAR2210D1T1,2:37:18,2:37:20,de ashi barai,white
