competition,ts_start,ts_end,throw,tori
SAR2210D1T1FIN,4:11,4:14,sumi gaeshi,blue
SAR2210D1T1FIN,4:51,4:53,ko uchi barai,blue
SAR2210D1T1FIN,5:43,5:45,ko uchi barai,blue
SAR2210D1T1FIN,48:12,48:14,tani otoshi,white
SAR2210D1T1FIN,48:50,48:52,tani otoshi,white
SAR2210D1T1FIN,51:30,51:32,ko soto gari,white
SAR2210D1T1FIN,1:16:03,1:16:05,o goshi,blue
SAR2210D1T1FIN,1:18:23,1:18:25,tani otoshi,blue
SAR2210D1T1FIN,1:39:37,1:39:39,o uchi gari,blue
SAR2210D1T1FIN,2:05:07,2:05:11,eri seoi nage,blue
SAR2210D1T1FIN,2:05:37,2:05:39,eri seoi nage,blue
SAR2210D1T1FIN,2:05:55,2:05:57,kata guruma,blue
SAR2210D1T1FIN,2:32:40,2:32:43,ko uchi makikomi,blue
SAR2210D1T1FIN,2:34:02,2:34:04,sumi gaeshi,blue
SAR2210D1T1FIN,2:35:07,2:35:09,o soto gari,blue
